dataset,n,true_k,MNG-DPC_NMI,MNG-DPC_ACC,MNG-DPC_ARI,MNG-DPC_Purity,MNG-DPC_k_pred,MNG-DPC_time_s,WANNDPC_NMI,WANNDPC_ACC,WANNDPC_ARI,WANNDPC_Purity,WANNDPC_k_pred,WANNDPC_time_s,DSNGCAP_NMI,DSNGCAP_ACC,DSNGCAP_ARI,DSNGCAP_Purity,DSNGCAP_k_pred,DSNGCAP_time_s,Gravity_DSNGCAP_NMI,Gravity_DSNGCAP_ACC,Gravity_DSNGCAP_ARI,Gravity_DSNGCAP_Purity,Gravity_DSNGCAP_k_pred,Gravity_DSNGCAP_time_s,KNN_NMI,KNN_ACC,KNN_ARI,KNN_Purity,KNN_k_pred,KNN_time_s,Gravity_DSNGCAP_r,Gravity_DSNGCAP_clean_r,Gravity_DSNGCAP_status,dimension,MNG-DPC_r,DPC-oracle-c_NMI,DPC-oracle-c_ACC,DPC-oracle-c_ARI,DPC-oracle-c_Purity,DPC-oracle-c_k_pred,DPC-oracle-c_time_s,DPC-oracle-c_fit_time_s,DPC-oracle-c_dc
fourty,1000,40,1.0,1.0,1.0,1.0,40,4.8815391063690186,1.0,1.0,1.0,1.0,40,7.817,1.0,1.0,1.0,1.0,40,1.684,1.0,1.0,1.0,1.0,40,2.91,1.0,1.0,1.0,1.0,40,0.443,15,7,computed,2,16.0,1.0,1.0,1.0,1.0,40,0.0417833999999857,0.027854700001626,1.3670854667046446
hypercube,800,8,1.0,1.0,1.0,1.0,8,2.416222095489502,1.0,1.0,1.0,1.0,8,3.252241611480713,1.0,1.0,1.0,1.0,8,1.7220845222473145,1.0,1.0,1.0,1.0,8,4.083980321884155,1.0,1.0,1.0,1.0,8,0.0512793064117431,7,6,computed,3,18.0,1.0,1.0,1.0,1.0,8,0.0308287000007112,0.018021799998678,0.1278749915260534
longsquare,900,6,0.9896897760485074,0.9966666666666668,0.9920554332516284,0.9966666666666668,6,2.471954822540283,0.9897,0.9967,0.9919,0.9967,6,6.233,0.9897,0.9967,0.9921,0.9967,6,1.035,0.933495,0.908889,0.906832,0.994444,8,1.592,0.866,0.8567,0.7985,0.8567,6,0.08,10,5,computed,2,8.0,0.9925491745902116,0.9977777777777778,0.994673992838077,0.9977777777777778,6,0.0380263999995804,0.0241251000006741,1.1465777623063107
R15,600,15,0.9913351232214996,0.995,0.9891224564103206,0.995,15,1.6446974277496338,0.9922,0.995,0.9893,0.995,15,2.874,0.9942,0.9967,0.9928,0.9967,15,0.804,0.988465,0.993333,0.985603,0.993333,15,0.946,0.9942,0.9967,0.9928,0.9967,15,0.089,7,6,computed,2,11.0,0.9942285075104654,0.9966666666666668,0.9927781994136302,0.9966666666666668,15,0.0231244999995396,0.0113280000005033,0.3695430687608784
sizes4,1000,4,0.9258023702318288,0.986,0.9568850934481044,0.986,4,3.60514235496521,0.8608,0.969,0.9055,0.969,4,7.908,0.0,0.727,0.0,0.727,1,1.41,0.0,0.727,0.0,0.727,1,2.666,0.8868,0.977,0.9307,0.977,4,0.124,11,7,computed,2,11.0,0.9194254501374638,0.985,0.958245900892223,0.985,4,0.0405401000007259,0.0271446000006108,0.8168876059091591
smile1,1000,4,1.0,1.0,1.0,1.0,4,2.220844268798828,1.0,1.0,1.0,1.0,4,7.864,1.0,1.0,1.0,1.0,4,1.19,1.0,1.0,1.0,1.0,4,2.257,0.6079,0.696,0.5468,0.75,4,0.093,7,7,computed,2,7.0,0.6661482384886833,0.732,0.568278309236157,0.75,4,0.0440741999991587,0.0324717000003147,0.0087221612281199
smile3,1000,4,1.0,1.0,1.0,1.0,4,2.8885867595672607,1.0,1.0,1.0,1.0,4,4.961868047714233,1.0,1.0,1.0,1.0,4,1.415,1.0,1.0,1.0,1.0,4,2.33,0.3954195963717709,0.515,0.2031279182518012,0.596,4,0.0497536659240722,8,9,computed,2,11.0,0.5244972008790433,0.625,0.281197920199105,0.625,4,0.0442356999992625,0.0309294999988196,0.0149762522583076
triangle1,1000,4,0.9905929322453414,0.998,0.9946666935258882,0.998,4,3.4083476066589355,1.0,1.0,1.0,1.0,4,7.78,0.9906,0.998,0.9947,0.998,4,1.279,1.0,1.0,1.0,1.0,4,2.615,0.952,0.986,0.9633,0.986,4,0.049,9,9,computed,2,8.0,1.0,1.0,1.0,1.0,4,0.0429688000003807,0.0303567000009934,0.681987269772244
twenty,1000,20,1.0,1.0,1.0,1.0,20,3.419797658920288,1.0,1.0,1.0,1.0,20,7.87,1.0,1.0,1.0,1.0,20,1.686,1.0,1.0,1.0,1.0,20,2.335,1.0,1.0,1.0,1.0,20,0.119,12,7,computed,2,14.0,1.0,1.0,1.0,1.0,20,0.0390425000005052,0.0262110000003303,0.724331106277905
xclara,3000,3,0.98723476082045,0.9976666666666668,0.99289452504611,0.9976666666666668,3,17.833839178085327,0.9864,0.9977,0.993,0.9977,3,69.091,0.9872,0.9977,0.9929,0.9977,3,5.15,0.968915,0.987667,0.980641,0.998,4,16.913,0.9872,0.9977,0.9929,0.9977,3,0.092,8,6,computed,2,10.0,0.9937530004755268,0.999,0.9969493297766724,0.999,3,0.2237326000013126,0.2064928999989206,4.999576540405361
zelnik5,512,4,1.0000000000000002,1.0,1.0,1.0,4,0.9329009056091307,1.0,1.0,1.0,1.0,4,1.340463161468506,1.0,1.0,1.0,1.0,4,0.702,1.0,1.0,1.0,1.0,4,0.821,0.6735266670058798,0.720703125,0.5039194350789242,0.720703125,4,0.0384652614593505,7,8,computed,2,10.0,0.4231839679865715,0.4140625,0.224077633496917,0.53125,4,0.0209938999996666,0.0088678000010986,0.0203945147652214
